User,ScoresMe,0
User,7
User,4
G,0
Use,8
Use,0
Use,14
User,6
Garrett,29
User,0
User,0
User,4
User,3
User,1
User,8
Ashlyn,3
Ashlyn,23
Ashlyn,1
Ashlyn,21
User,24
User,11
Mom,0
Mom,3
Mom,3
Lachlan,7
Lachlan,22
Lachlan,2
Lachlan,9
Lachlan,30
Lachlan,6
Lachlan,21
Lachlan,10
Lachlan,0
User,7
User,0
User,0
User,2
User,2
User,2
User,12
User,0
User,0
User,0
User,0
User,2
User,5
User,4
Brogan,24
Spenny,12
User,8
"cockmaSTA FLEX",3
"cockmaSTA FLEX",30
"FUCK SAAKU",3
"FUCK SAAKU",34
BROGAN,3
BROGAN,21
BROGAN,17
BROGAN,29
SPENNY,39
ryder a bitch fr,8
ryder a bitch fr,22
@#^$&$,32
@#^$&$,25
@#^$&$,39
@#^$&$,63
Brog,8
Brog,0
Brog,1
Brog,35
"Reinizcool",0
"Reinizcool",23
"Reinizcool",23
"Reinizcool",64
"Reinizcool",1
DARBO,10
DARBO,12
DARBO,19
DARBO,0
DARBO,55
DARBO,4
DARBO,6
DARBO,2
User,0
User,34
User,4
User,8
User,0
User,5
User,1
User,0
User,0
User,0
User,0
User,0
User,0
User,0
User,2
pen15,7
pen15,9
pen15,28
cumslut,3
cumslut,39
cumslut,0
cumslut,33
cumslut,12
cumslut,2
cumslut,15
cumslut,33
cumslut,20
cumslut,47
creamycummycockboy,5
creamycummycockboy,3
creamycummycockboy,12
Poebid,1
Poebid,15
Poebid,3
Poebid,5
Poebid,2
Poebid,0
Poebid,0
Poebid,0
Poebid,6
Poebid,51
Poebid,2
Poebid,8
Poebid,44
Poebid,12
Poebid,0
Poebid,12
Poebid,35
creamycummycockboy,35
creamycummycockboy,3
creamycummycockboy,1
creamycummycockboy,24
Garrett,2
Garrett,52
"",0
"",1
"",0
"",9
"",0
"",0
User,3
User,6
User,5
User,2
fuck weiqi,21
fuck weiqi,8
fuck weiqi,19
fuck weiqi,28
fuck weiqi,0
fuck weiqi,23
fuck weiqi,44
fuck weiqi,0
fuck weiqi,39
fuck weiqi,45
fuck weiqi,0
fuck weiqi,13
fuck weiqi,0
"f saaku",5
"f saaku",51
User,10
f brogan,50
f brogan,54
f rein,34
User,1
User,0
User,3
User,2
User,4
User,0
User,1
User,2
User,0
User,5
User,0
User,0
User,0
User,1
User,0
User,1
User,1
User,0
User,4
User,1
User,3
User,3
User,21
User,0
User,24
User,18
User,16
User,6
User,5
User,2
User,24
User,3
User,30
User,4
User,7
User,2
User,4
User,26
User,1
User,20
User,0
"RyderPenis",5
"RyderPenis",4
"RyderPenis",0
"RyderPenis",2
"RyderPenis",26
Reiniznt,4
Reiniznt,1
Reiniznt,70
Cum Gobl,23
Cum Gobl,70
G_moneyy,3
G_moneyy,2
G_moneyy,2
G_moneyy,7
G_moneyy,33
G_moneyy,18
G_moneyy,26
G_moneyy,4
G_moneyy,30
User,0
User,7
User,2
User,7
User,3
User,11
User,3
User,4
User,22
User,0
User,29
Rydon,21
User,56
User,6
User,26
User,1
Ballsack,29
Ballsack,3
Ballsack,0
Ballsack,0
Ballsack,5
Ballsack,11
Ballsack,23
Ballsack,4
Ballsack,15
Ballsack,7
Ballsack,2
Ballsack,0
Ballsack,30
Ballsack,48
Ballsack,1
Ballsack,6
Ballsack,33
Ballsack,4
Ballsack,53
Ballsuck,3
Ballsuck,62
Podbid,43
Buttchug,22
Buttchug,29
Buttchug,11
Buttchug,12
Buttchug,23
User,0
User,0
User,0
User,3
User,0
User,1
User,0
User,0
User,1
User,0
User,0
User,0
User,0
User,3
User,0
User,2
User,0
User,0
User,0
User,0
User,0
User,0
User,0
User,0
User,0
User,0
User,1
User,7
User,18
User,13
